chain,address,symbol,decimals,logoURI
ethereum,0xe02b2Ad63eFF3Ac1D5827cBd7AB9DD3DaC4f4AD0,aUniUSDC,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0xe02b2Ad63eFF3Ac1D5827cBd7AB9DD3DaC4f4AD0/logo.png
ethereum,0x1D0e53A0e524E3CC92C1f0f33Ae268FfF8D7E7a5,aUniUSDCETH,18,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x1D0e53A0e524E3CC92C1f0f33Ae268FfF8D7E7a5/logo.png
ethereum,0xb977ee318010A5252774171494a1bCB98E7fab65,aUniUSDT,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0xb977ee318010A5252774171494a1bCB98E7fab65/logo.png
ethereum,0xBcca60bB61934080951369a648Fb03DF4F96263C,aUSDC,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0xBcca60bB61934080951369a648Fb03DF4F96263C/logo.png
ethereum,0x9bA00D6856a4eDF4665BcA2C2309936572473B7E,aUSDC V1,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x9bA00D6856a4eDF4665BcA2C2309936572473B7E/logo.png
ethereum,0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,aUSDT,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811/logo.png
ethereum,0x71fc860F7D3A592A4a98740e39dB31d25db65ae8,aUSDT V1,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x71fc860F7D3A592A4a98740e39dB31d25db65ae8/logo.png
ethereum,0x39AA39c021dfbaE8faC545936693aC917d5E7563,cUSDC,8,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x39AA39c021dfbaE8faC545936693aC917d5E7563/logo.png
ethereum,0x39AB32006Afe65A0B4D6A9A89877c2c33ad19EB5,CUSDT,6,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x39AB32006Afe65A0B4D6A9A89877c2c33ad19EB5/logo.png
ethereum,0x00000000008943c65cAf789FFFCF953bE156f6f8,dUSDC,8,https://assets-cdn.trustwallet.com/blockchains/ethereum/assets/0x00000000008943c65cAf789FFFCF953bE156f6f8/logo.png
